@relation Train2

@attribute Call_Type {A,B,C}
@attribute Start_x real
@attribute Start_y real
@attribute Past real
@attribute AvgSpeed real
@attribute Time real


@data
"B",-8.612064,41.154426,54,4.53792756301236,1260
"A",-8.622585,41.156856,27,3.45009851413718,825
"B",-8.639865,41.159781,36,2.98322074331626,885
"B",-8.599275,41.149143,51,6.26086990479851,750
"B",-8.640414,41.159736,41,10.9249150024435,945
"B",-8.628192,41.157513,7,5.39921868079008,960
"C",-8.614539,41.14116,64,2.96628770859076,1410
"C",-8.632809,41.157936,186,3.97314852930337,3315
"B",-8.630073,41.157504,44,4.40102062393684,900
"A",-8.612019,41.165739,44,3.00448106396786,780
"C",-8.583363,41.180778,242,1.08585497022396,6165
"A",-8.63775,41.182254,49,5.70538411908875,960
"B",-8.613297,41.154732,57,7.83107410056851,1170
"B",-8.60697,41.150079,71,7.20258614427013,3120
"B",-8.599275,41.149062,32,6.34454847839627,600
"A",-8.576766,41.143437,80,20.0287486273124,1305
"B",-8.649342,41.154498,20,4.35256584487084,855
"B",-8.649459,41.154264,93,3.29767492787365,1980
"B",-8.613882,41.141457,8,4.90794019187192,1065
"C",-8.633052,41.162823,18,1.02882956645181,315
"B",-8.656848,41.161419,37,3.3310829067438,1080
"B",-8.674047,41.153886,18,6.22675302171412,855
"C",-8.619192,41.155236,37,8.29018346383423,825
"B",-8.606511,41.144634,9,4.01949354477378,270
"A",-8.656227,41.153292,102,3.73117866259205,1980
"B",-8.674101,41.153868,52,4.05539814399084,870
"A",-8.646003,41.151321,5,4.83619847397273,2010
"A",-8.601156,41.147667,12,2.08256750053017,1095
"B",-8.613909,41.141511,33,7.08289297883838,765
"C",-8.648694,41.154345,61,6.15019758016089,4200
"A",-8.679096,41.15376,3,0.165547065847577,945
"A",-8.669142,41.176458,48,5.29385089062253,2190
"A",-8.609688,41.161194,16,5.12368031991462,960
"B",-8.60652,41.144778,15,7.74391587799478,375
"C",-8.60184,41.14152,33,5.969826336546,1995
"B",-8.606457,41.144751,6,4.03806014747191,900
"A",-8.673813,41.149638,41,6.42650098577233,1110
"A",-8.647002,41.167458,6,1.82511238056714,1935
"C",-8.683515,41.163282,166,6.87477056232839,2700
"B",-8.610885,41.145615,19,7.43779443483436,1320
"C",-8.60985,41.160663,15,2.33251118133535,2430
"B",-8.609643,41.160249,67,3.57086206983638,1125
"A",-8.673732,41.149656,52,4.97754161360466,1260
"B",-8.629947,41.154642,54,6.9185900919565,1275
"A",-8.613549,41.162868,33,2.59718750499255,885
"C",-8.613846,41.141367,52,7.2975376175458,1770
"B",-8.639892,41.15979,30,2.02393633344578,1020
"B",-8.607078,41.150061,35,5.64534952517826,945
"B",-8.62722,41.152005,13,3.28143223258575,990
"B",-8.60697,41.150034,5,5.34339602775671,1380
"A",-8.673651,41.149638,43,6.20821392940524,1305
"C",-8.69004,41.174928,134,5.33689469703658,2595
"A",-8.620794,41.149152,16,4.74345794717073,1710
"B",-8.612505,41.14584,27,6.19791928101646,435
"B",-8.606871,41.150268,16,3.44849480939582,1320
"A",-8.640801,41.159844,42,4.63410920352813,1155
"B",-8.617617,41.146101,3,3.745890786284,765
"B",-8.612595,41.146074,20,6.33850585403384,645
"B",-8.606304,41.144688,23,2.03312242630339,630
"A",-8.624358,41.156829,24,4.52468041288807,900
"B",-8.606466,41.144805,35,5.42756352789395,1380
"A",-8.652474,41.173281,9,1.46906582509335,465
"C",-8.611956,41.147883,30,4.20763661998092,435
"A",-8.6031,41.142627,11,1.24557542923264,690
"C",-8.628453,41.156856,37,4.11308818566166,1035
"B",-8.628723,41.161014,47,2.82694089870454,1110
"B",-8.602794,41.179599,78,6.28129150698301,1245
"A",-8.610102,41.152932,66,4.91529745389875,1065
"A",-8.659863,41.148441,35,13.7167004866604,765
"A",-8.65377,41.156541,33,8.71530925327597,480
"A",-8.586909,41.173659,6,9.10265893535989,285
"C",-8.607438,41.133267,46,2.03299181739382,1290
"B",-8.611173,41.149368,4,1.02971122942773,510
"B",-8.615574,41.140944,2,0.543097235105406,570
"B",-8.609463,41.161104,46,3.29359801756348,690
"B",-8.60706,41.150115,5,0.604376821740371,705
"B",-8.608959,41.147613,66,3.69932737042994,1365
"B",-8.617572,41.146137,116,9.80855076424274,1830
"B",-8.58258,41.180463,13,6.36398422144588,750
"C",-8.606358,41.144625,20,2.36435563021444,420
"A",-8.632206,41.161968,22,3.3102442473402,1140
"C",-8.602056,41.157081,33,3.76913308600615,750
"C",-8.668746,41.176521,134,5.13071834407377,2145
"A",-8.620875,41.155137,25,3.60808913401622,585
"B",-8.606961,41.150187,54,17.8211634765145,2025
"B",-8.591625,41.162841,60,7.97945169348775,960
"B",-8.627751,41.175441,16,8.16284219146968,1230
"B",-8.606259,41.144571,22,10.3783387296796,945
"B",-8.606403,41.14476,27,3.57644596393157,735
"B",-8.582796,41.180301,71,7.339907747678,1065
"C",-8.680788,41.155722,31,7.30997472578355,1080
"B",-8.584362,41.163246,3,10.059284005785,540
"A",-8.625177,41.166819,50,1.37593185468223,1365
"B",-8.654742,41.173551,50,3.8051145838648,1410
"B",-8.609616,41.160447,10,5.4327408339773,825
"B",-8.582679,41.180409,58,14.3107016252225,945
"B",-8.582823,41.180301,52,9.79124616327358,1050
"B",-8.619957,41.147865,166,16.8341614441317,3705
"B",-8.609067,41.147469,74,11.7953718826983,1260
"C",-8.648172,41.14827,14,9.24619545904998,540
"B",-8.611182,41.172246,19,5.32041841646025,420
"B",-8.639856,41.159808,2,2.11067652894343,975
"C",-8.640756,41.160051,4,0.863494809302656,1545
"A",-8.649117,41.149197,45,17.1667023479495,1095
"B",-8.604216,41.161005,62,11.8420415522249,915
"C",-8.664363,41.156442,315,5.54597993160164,8250
"C",-8.539479,41.163777,144,4.15915092510256,5520
"A",-8.649828,41.162175,23,14.570971945604,600
"C",-8.646012,41.153733,465,6.50472456188113,7530
"B",-8.606511,41.144643,60,3.62011556079903,1500
"B",-8.654724,41.173569,43,6.38986383046054,2025
"B",-8.619876,41.148054,5,2.48295446908722,870
"C",-8.61741,41.145219,82,3.33506979968618,3030
"B",-8.589249,41.169708,18,4.8963066640952,885
"B",-8.649495,41.166783,41,5.65155395207651,1140
"B",-8.60652,41.144778,7,2.53604159690681,975
"C",-7.735365,41.294907,364,7.44099862067025,10665
"C",-8.659647,41.160186,39,2.81231180411944,1290
"A",-8.679357,41.158134,27,6.95277845958952,570
"A",-8.633034,41.151285,11,2.70358365707705,780
"C",-8.596089,41.202045,6,2.28872404349887,330
"B",-8.676117,41.163282,55,5.61278429100809,1155
"B",-8.649189,41.154399,79,6.50116677070855,1335
"B",-8.639892,41.159817,80,1.32605944601041,1680
"C",-8.591301,41.156316,6,3.50265267839743,540
"B",-8.639775,41.159709,23,2.91865971343837,540
"C",-8.693073,41.202648,88,6.89494879825545,2100
"A",-8.619831,41.164902,29,4.23067829554841,495
"A",-8.586756,41.17797,39,9.92865887719088,1245
"C",-8.610849,41.145579,125,5.40181878031415,2385
"B",-8.628264,41.157558,58,4.50211254631621,1035
"A",-8.630055,41.158701,1,261.6551353947,1515
"C",-8.571231,41.164848,84,7.33307270011821,1695
"C",-8.60868,41.14773,46,4.49448963752838,825
"C",-8.649225,41.150655,163,3.46751710070953,3195
"B",-8.639874,41.159826,36,3.81981177856295,915
"B",-8.639766,41.159808,21,1.16508525245828,750
"B",-8.61759,41.146137,11,3.06258537971945,540
"B",-8.58564,41.148639,7,5.2742657088557,1785
"B",-8.627229,41.152266,11,3.38126550915348,540
"A",-8.574732,41.142744,1,203.09976566566,540
"C",-8.600157,41.18274,46,9.91856158470393,750
"C",-8.597592,41.145012,380,1.80720760248333,7530
"C",-8.679537,41.166207,82,8.88669925392978,2205
"B",-8.630154,41.157342,11,5.25504267124133,600
"B",-8.610939,41.145624,13,1.93115840216401,1635
"B",-8.628813,41.160951,8,4.5225208305699,1455
"C",-8.593479,41.168448,14,5.3662854350513,195
"B",-8.663832,41.177106,17,2.26220543505767,450
"B",-8.613963,41.141457,27,3.52099105606493,1545
"B",-8.609562,41.151015,36,3.48345895197902,765
"C",-8.660169,41.18769,108,11.1380649166245,1680
"C",-8.602497,41.126175,26,2.0619684790628,1410
"C",-8.601876,41.16357,33,7.765388733879,900
"C",-8.617743,41.144085,4,5.0711167617508,600
"B",-8.649495,41.154318,79,5.38925926978522,1695
"B",-8.605494,41.153472,362,3.96208543073615,8235
"A",-8.602209,41.147271,55,6.06010157032187,3585
"A",-8.574705,41.142744,22,8.0475863499149,480
"B",-8.611281,41.172156,121,6.12670035617655,2145
"B",-8.649585,41.154543,15,7.31661195300453,615
"B",-8.619867,41.148189,17,4.64262109193072,1170
"B",-8.628687,41.169807,5,0.984562975269204,1125
"B",-8.627193,41.166999,79,17.8833454481478,1425
"C",-8.609931,41.160303,26,5.23764928916495,450
"B",-8.649612,41.167125,27,5.93476309514821,690
"A",-8.647947,41.173785,59,7.86106868623613,930
"C",-8.64495,41.162301,54,2.74207770226935,1515
"C",-8.62218,41.181471,180,6.52155558818529,4470
"C",-8.673444,41.149953,2,0.351656531887334,1125
"C",-8.623152,41.150655,3,3.31026852517104,960
"B",-8.610867,41.14557,125,2.2333354662033,2385
"C",-8.627175,41.158809,162,5.42618813078314,2460
"B",-8.628156,41.157666,4,3.91026650409238,1170
"B",-8.630073,41.15727,27,7.1301037109727,540
"B",-8.610822,41.145579,126,6.91654923621914,2415
"A",-8.591634,41.159169,36,4.3125456115421,525
"B",-8.649594,41.167305,64,2.42519006520016,1995
"B",-8.613207,41.16654,21,3.94300721312889,1020
"B",-8.611074,41.145426,12,2.97012158756354,1245
"B",-8.627139,41.167197,34,3.39024760725331,540
"B",-8.619894,41.148027,55,4.85930853941973,915
"C",-8.602866,41.145597,330,2.05939274527039,10980
"B",-8.613297,41.154471,45,6.78815260300179,795
"B",-8.649927,41.166873,29,2.55894518377778,3675
"A",-8.624601,41.179284,46,5.69745877638579,960
"B",-8.649504,41.154318,27,7.29324320158867,795
