@relation Train3

@attribute Call_Type {A,B,C}
@attribute Start_x real
@attribute Start_y real
@attribute Past real
@attribute AvgSpeed real
@attribute Time real


@data
"C",-8.621298,41.147424,60,5.14643384899207,1590
"C",-8.615736,41.147289,11,8.6251958115412,945
"C",-8.580285,41.190894,6,13.9628148732298,330
"C",-8.607258,41.145777,38,20.7307808973917,780
"B",-8.612613,41.145957,11,6.7164253369549,210
"C",-8.614341,41.175702,19,4.88507435811367,1785
"A",-8.604261,41.124978,63,22.1367185588089,945
"C",-8.635671,41.171724,19,7.98507324337701,690
"A",-8.6229,41.164191,17,7.74272885396304,420
"A",-8.60706,41.145732,30,9.2280479454084,1245
"C",-8.630127,41.169213,26,5.61796966227451,1155
"C",-8.607033,41.145921,19,1.04022078583482,1380
"A",-8.638191,41.170626,15,18.8629585621486,435
"C",-8.639514,41.164209,137,2.56379571077944,2280
"A",-8.610129,41.146317,4,0.179194561662105,1320
"A",-8.669574,41.169483,22,9.20376677768738,825
"A",-8.611686,41.159934,10,9.84995611061525,690
"C",-8.609949,41.147739,24,16.0343556435432,390
"C",-8.610048,41.147604,55,5.83013623853528,870
"C",-8.610075,41.147766,8,11.2627470212363,375
"C",-8.609976,41.147712,6,14.7354885002177,420
"C",-8.610165,41.147721,5,16.6006951776611,495
"C",-8.61003,41.147703,16,10.5257767104485,1095
"A",-8.620497,41.150817,51,19.8191665086042,765
"C",-8.609994,41.14773,92,8.34164458655944,1590
"B",-8.604135,41.161077,33,5.58942504178615,1020
"C",-8.611074,41.14944,16,7.52644754782052,660
"B",-8.610876,41.14557,9,6.8238050760763,525
"A",-8.575776,41.143896,35,5.12373826332797,1680
"C",-8.614134,41.178213,11,5.4526182368598,780
"A",-8.669106,41.169168,41,20.1112244155068,825
"C",-8.665254,41.155155,23,10.7667551446304,750
"C",-8.633547,41.127345,14,15.5942804367783,990
"A",-8.599401,41.161941,64,14.2059382233135,1680
"C",-8.609886,41.14773,39,9.73493360060323,1785
"A",-8.6121,41.148648,30,17.7073069034753,1065
"C",-8.615223,41.147217,30,14.4913585821437,495
"B",-8.606403,41.144634,44,16.9023972516277,1110
"C",-8.614224,41.146335,4,7.98469303629325,450
"C",-8.614368,41.147271,41,16.5066225763503,840
"C",-8.584614,41.164047,36,0.396338235837789,1680
"C",-8.614332,41.147244,39,16.6707285423602,705
"B",-8.613873,41.141277,7,10.4154511439696,765
"B",-8.649873,41.154327,16,10.9921295573868,825
"C",-8.612208,41.147244,6,5.39141742214163,960
"C",-8.602569,41.155389,57,3.34659809030653,1425
"B",-8.649594,41.167314,19,9.29350256041469,645
"A",-8.591607,41.168322,14,10.2777969099227,765
"A",-8.604783,41.152653,6,3.66419453931736,855
"A",-8.667576,41.166,4,0.0585449511831476,1305
"A",-8.664732,41.154768,54,15.4869457379072,885
"B",-8.612568,41.145975,6,5.17972445524806,330
"A",-8.607294,41.145624,237,4.18420697848331,4035
"A",-8.606853,41.145696,2,0.348379738809458,1050
"B",-8.606502,41.144463,45,16.4366521651045,1410
"B",-8.648892,41.178537,28,13.9713657695123,1980
"C",-8.60913,41.162616,15,7.00187504300276,375
"A",-8.667063,41.16267,26,10.4868888381395,825
"C",-8.616384,41.147163,4,6.80757904390058,840
"C",-8.610138,41.147676,50,9.68412029334398,1155
"C",-8.602524,41.155812,21,9.547878140386,405
"C",-8.584974,41.133987,21,27.4514865540972,1290
"B",-8.613279,41.154417,5,4.0086137501493,480
"C",-8.599581,41.153985,52,18.6395420797579,900
"B",-8.609688,41.151339,22,11.7983109753113,435
"C",-8.631252,41.156622,15,13.0017462598893,1065
"A",-8.586747,41.170041,5,0.279048655475675,270
"C",-8.672067,41.181795,20,22.0729257199487,495
"C",-8.613333,41.155047,61,18.7254817421788,1200
"C",-8.599905,41.174532,2,12.1404983455416,1275
"B",-8.612568,41.145966,42,16.7231589454527,945
"C",-8.602515,41.155794,38,12.1702659779519,900
"B",-8.612595,41.145993,48,13.2319495845843,720
"A",-8.603469,41.15313,8,3.4370569988306,1095
"B",-8.672688,41.148954,16,7.10435086004028,285
"C",-8.611974,41.15502,23,6.08177889490396,810
"B",-8.614053,41.141142,33,10.2784490058733,510
"B",-8.611173,41.14935,12,9.94930161858519,480
"A",-8.614431,41.142114,55,19.9088336289272,945
"A",-8.673732,41.149638,41,7.23942040101393,1080
"B",-8.605737,41.15358,237,12.3583655128227,4470
"A",-8.673849,41.149557,8,0.236142791349154,975
"C",-8.562555,41.213457,3,7.89050827293565,30
"B",-8.606034,41.144472,125,13.2596366155098,2055
"B",-8.613207,41.154507,53,18.1190479335936,900
"C",-8.62785,41.155596,6,36.4786331134898,840
"B",-8.61255,41.145966,11,10.760749852831,525
"A",-8.679636,41.155875,26,11.0318080365378,765
