@relation Train0

@attribute Call_Type {A,B,C}
@attribute Start_x real
@attribute Start_y real
@attribute Past real
@attribute AvgSpeed real
@attribute Time real


@data
"B",-8.615565,41.140935,15,3.47807617190228,405
"B",-8.609625,41.160366,13,7.15662530400967,435
"A",-8.620083,41.170437,43,5.77585995086976,630
"B",-8.585631,41.148522,29,5.98599345525867,915
"A",-8.574696,41.142672,27,4.87638278794479,480
"C",-8.583363,41.180778,302,1.38020555678315,6165
"B",-8.585604,41.148486,10,7.30125096512168,1260
"B",-8.606538,41.144715,35,3.5198756117462,1155
"C",-8.599239,41.149161,24,5.78249507083558,1155
"B",-8.628786,41.160915,49,1.43943687742412,1455
"B",-8.649468,41.154318,55,5.66220138843607,810
"B",-8.602893,41.179626,39,8.11026556249174,930
"B",-8.60697,41.150079,131,4.94133406964046,3120
"C",-8.612955,41.140413,12,1.87460680251081,615
"C",-8.628129,41.157612,23,3.62958019308159,630
"B",-8.599311,41.149188,24,5.93015475359524,375
"B",-8.613882,41.141457,68,9.04839086245819,1065
"B",-8.61381,41.141574,8,4.72197708505613,1095
"C",-8.665506,41.158737,25,6.32568833303513,510
"A",-8.680374,41.172048,51,7.58862967043748,1005
"B",-8.619849,41.148081,2,1.48237122547408,300
"B",-8.585622,41.148576,16,5.83361006323746,1050
"A",-8.681706,41.15835,45,5.55620647059658,915
"C",-8.583138,41.18166,1,46.0571440023273,480
"A",-8.644041,41.159178,52,1.87582430595047,1470
"C",-8.612478,41.146029,20,7.90045587052118,645
"C",-8.602461,41.173794,19,5.62608923258993,510
"A",-8.646003,41.151321,65,1.94897896559736,2010
"C",-8.628462,41.157819,3,3.17859702645328,915
"A",-8.601156,41.147667,72,10.343031498137,1095
"A",-8.669151,41.152752,6,8.53578257832953,90
"B",-8.58564,41.148585,55,5.1310144289122,870
"C",-8.648694,41.154345,121,10.1034983093448,4200
"A",-8.679096,41.15376,63,5.53229174538522,945
"B",-8.585586,41.148369,12,6.04263227321332,795
"B",-8.585613,41.14845,23,5.26340189466163,570
"B",-8.585604,41.14854,26,8.32233129943758,405
"B",-8.619849,41.148234,42,2.3196788492708,810
"A",-8.669142,41.176458,108,8.7412042075191,2190
"C",-8.60184,41.14152,93,6.3562907325883,1995
"B",-8.606934,41.150205,36,4.04775558681616,750
"B",-8.609481,41.151123,2,0.142573450090495,585
"B",-8.585613,41.14854,16,5.90506687683888,1230
"A",-8.647002,41.167458,66,2.63618112394033,1935
"B",-8.610885,41.145615,79,5.97854858587094,1320
"C",-8.60985,41.160663,75,1.74216894292503,2430
"B",-8.627148,41.167125,15,0.523713027793128,810
"C",-8.661789,41.147406,12,7.12422700549165,12015
"B",-8.606493,41.144715,1,190.907153349263,1305
"A",-8.604189,41.180391,4,3.40370685516746,330
"B",-8.586054,41.148972,56,5.58094813939197,1005
"C",-8.613846,41.141367,112,6.9070003495597,1770
"B",-8.617563,41.146128,7,4.24478849273289,1155
"B",-8.630478,41.154327,35,4.63993701748282,780
"A",-8.640162,41.161725,7,1.06816476068692,1035
"C",-8.62722,41.151987,42,2.58795689520048,1035
"A",-8.668926,41.176413,25,5.10436922793991,1245
"B",-8.60697,41.150034,65,2.93663143106843,1380
"B",-8.61984,41.148054,30,3.44678042456572,660
"A",-8.620794,41.149152,76,6.88419009524838,1710
"B",-8.606871,41.150268,76,6.35611080548666,1320
"A",-8.571528,41.169546,6,6.36143859885491,795
"B",-8.585649,41.148864,9,5.9563041651211,645
"B",-8.599221,41.149143,22,2.78455831452772,585
"C",-8.614773,41.147793,7,3.498308650611,615
"B",-8.585658,41.148594,30,24.1439382636312,780
"B",-8.585595,41.14854,35,5.17343150964038,570
"B",-8.630271,41.157297,34,3.93575263922251,1110
"B",-8.628066,41.157693,5,1.41177082224739,375
"B",-8.59122,41.162652,13,14.2686647009089,675
"B",-8.613918,41.141376,14,6.25105023442111,645
"B",-8.611164,41.149332,15,8.02966598738566,300
"B",-8.630316,41.15448,12,4.54917795131959,825
"B",-8.611074,41.149359,20,7.88296075629877,480
"B",-8.580087,41.159412,15,6.71424224575643,690
"B",-8.591328,41.16258,38,5.68337928591118,1245
"B",-8.599239,41.14917,13,0.597930482083245,840
"A",-8.596863,41.15385,22,3.74636111237018,495
"B",-8.61759,41.146209,24,6.46509444875316,450
"B",-8.606961,41.150187,114,19.2719715152188,2025
"B",-8.611029,41.145381,13,9.68159210087487,900
"B",-8.582481,41.180616,23,7.01356115900367,375
"B",-8.64954,41.167593,45,6.19496926129691,825
"B",-8.627751,41.175441,76,7.8618179471824,1230
"B",-8.674092,41.153922,15,7.64957515204429,210
"A",-8.655714,41.1786,60,12.8022109023065,1005
"B",-8.585604,41.148513,25,8.34744842341965,780
"B",-8.585631,41.14854,14,70.9781852296763,975
"B",-8.579853,41.159583,35,5.35706060445141,525
"B",-8.585838,41.148981,16,3.20064590082302,555
"A",-8.596854,41.16087,36,3.53667692533853,705
"B",-8.613252,41.154543,9,0.0964536973205459,1575
"A",-8.626032,41.157234,35,4.31555703909338,945
"B",-8.611245,41.172192,22,3.72930536497213,855
"A",-8.65836,41.155119,3,3.13258264195239,585
"B",-8.613288,41.154291,41,5.62778365599454,1335
"B",-8.584371,41.163183,10,6.04070547601516,930
"A",-8.602191,41.147289,13,2.24410517288419,1350
"B",-8.585658,41.148621,12,4.15047011312333,1155
"B",-8.585676,41.148432,25,4.16788861733893,1365
"B",-8.606448,41.144706,17,4.77279994069877,915
"B",-8.600085,41.182686,45,9.20453373864384,855
"A",-8.655129,41.178222,13,5.5034678959528,1425
"B",-8.619957,41.147865,226,16.2968411809671,3705
"B",-8.585631,41.14872,21,3.28456750164306,1050
"A",-8.659872,41.153175,26,4.3611776029225,540
"B",-8.585667,41.148594,15,5.21041713829158,450
"B",-8.611299,41.172201,14,6.3271960590075,525
"B",-8.639856,41.159808,62,3.81849559741251,975
"C",-8.640756,41.160051,64,18.3730810395589,1545
"B",-8.582553,41.180589,15,4.76415794565596,2025
"B",-8.607006,41.150259,11,4.88322718227749,360
"B",-8.585667,41.148567,26,14.0843513977035,900
"C",-8.664363,41.156442,375,4.68677767922113,8250
"C",-8.539479,41.163777,204,2.99582195166592,5520
"B",-8.585631,41.148495,33,4.32742293385178,570
"B",-8.585676,41.148567,29,9.29873605027473,1155
"B",-8.609436,41.177295,15,7.65917815323594,585
"B",-8.58564,41.148576,5,4.03959300527487,825
"B",-8.628309,41.157585,41,4.96566310508026,975
"B",-8.585622,41.148585,24,3.26058370392846,1290
"B",-8.654724,41.173569,103,5.9435702872322,2025
"C",-8.61741,41.145219,142,10.3978348190247,3030
"B",-8.585676,41.148513,26,5.91515349415976,1110
"B",-8.582445,41.181021,12,6.55379290078263,855
"B",-8.61759,41.146227,30,6.85961421090225,660
"C",-7.735365,41.294907,424,6.39789636955234,10665
"A",-8.607501,41.145462,49,5.32995675792236,1275
"B",-8.585694,41.148711,11,4.03878453151518,780
"C",-8.666919,41.147406,47,4.25013719307003,750
"B",-8.584344,41.163228,14,7.47319011864902,645
"A",-8.624682,41.179356,30,8.04902933351416,1140
"B",-8.605692,41.153679,14,6.00998667671648,645
"A",-8.630055,41.158701,61,2.93001432676404,1515
"B",-8.619885,41.148081,36,4.52056193860713,930
"B",-8.585622,41.148621,15,5.45835535909306,960
"B",-8.58564,41.148639,67,10.5223181548307,1785
"B",-8.585667,41.148558,11,4.06170695527651,375
"B",-8.585658,41.148594,13,3.69297995129165,345
"B",-8.58564,41.148432,11,0.245704609259395,870
"C",-8.597592,41.145012,440,2.10016456593409,7530
"C",-8.679537,41.166207,142,7.61364673288204,2205
"B",-8.606511,41.144616,34,4.237061483422,495
"B",-8.627193,41.151915,55,3.35933886904192,1500
"A",-8.667558,41.169366,17,14.4916430973395,1065
"B",-8.610939,41.145624,73,4.06847192583936,1635
"B",-8.628813,41.160951,68,3.4603322598296,1455
"C",-8.618166,41.152806,48,3.00918233107416,1290
"B",-8.58564,41.148576,22,12.7013072602193,1665
"B",-8.58564,41.148549,5,8.99333642061492,735
"C",-8.600085,41.182731,4,4.65067753215959,795
"B",-8.627688,41.157864,30,4.40337027703771,795
"A",-8.574813,41.142807,15,8.22210509963189,375
"B",-8.613963,41.141457,87,3.54037418112321,1545
"C",-8.602497,41.126175,86,8.38878614472915,1410
"A",-8.609742,41.161086,23,5.11599848919037,4455
"B",-8.589294,41.169726,2,0.167010030061082,375
"C",-8.585676,41.148558,44,13.0842644172117,855
"B",-8.605494,41.153472,422,3.40979396860696,8235
"A",-8.602209,41.147271,115,4.61309327296794,3585
"A",-8.601858,41.175909,10,0.0802788959336507,675
"B",-8.585604,41.148522,21,8.72526766272637,825
"B",-8.585622,41.148648,2,2.35439949254284,1125
"A",-8.68608,41.184171,25,7.40227622669221,2520
"A",-8.59698,41.188716,24,4.26523074041424,1440
"B",-8.619867,41.148189,77,4.44449029418051,1170
"C",-8.609526,41.160555,11,9.50101482880187,810
"B",-8.67474,41.148117,56,5.28059872980189,1020
"B",-8.628687,41.169807,65,2.98184100398327,1125
"B",-8.617617,41.146245,11,3.22436583551745,420
"B",-8.611155,41.149395,13,56.4448145245761,360
"B",-8.606934,41.150286,27,2.38900626856412,975
"C",-8.62218,41.181471,240,7.07637289354361,4470
"C",-8.673444,41.149953,62,6.76481248739051,1125
"B",-8.61102,41.149701,41,9.7821828960349,1455
"C",-8.623152,41.150655,63,4.56205994255693,960
"B",-8.628156,41.157666,64,4.62598903816431,1170
"C",-8.673048,41.159169,3,0.238587006801163,2760
"B",-8.604198,41.161338,27,4.63672163263771,390
"B",-8.608689,41.147928,13,3.82749988969412,990
"A",-8.63802,41.152644,2,3.39620358671966,750
"B",-8.585604,41.148585,3,2.04164371818501,225
"B",-8.649594,41.167305,124,4.14428869020866,1995
"B",-8.613819,41.140764,20,2.4025296120847,615
"B",-8.611074,41.145426,72,12.5836437681906,1245
"B",-8.611038,41.145489,16,8.81274871998237,1455
"C",-8.602866,41.145597,390,2.77841362545899,10980
"B",-8.606511,41.144535,5,4.01800937190042,600
"B",-8.585703,41.148693,16,8.76472156197656,555
"C",-8.61138,41.145147,13,2.57879708321244,1380
"A",-8.611362,41.147757,24,4.25980266529501,795
"B",-8.649927,41.166873,89,5.14767294597297,3675
"B",-8.689338,41.16816,54,7.50697210267172,1200
"B",-8.627229,41.151816,70,3.64675887355917,1770
"B",-8.606511,41.144652,13,7.50355313743482,330
"C",-8.663418,41.163498,46,11.1571816904517,855
"B",-8.62767,41.157963,61,5.12568884266862,1005
"B",-8.628732,41.161005,14,3.29193032744903,750
"B",-8.63991,41.159808,22,5.15561462713095,705
"C",-8.574759,41.142654,6,0.324147445690441,660
"B",-8.605755,41.153364,31,5.69333340701048,525
"B",-8.619795,41.148144,22,4.21481403975739,525
"C",-8.640684,41.161239,60,6.48951817431307,975
"C",-8.628354,41.157198,8,2.49245172238937,1350
"B",-8.612478,41.146074,4,1.10700184009334,480
"B",-8.649414,41.154363,26,7.53771433457903,915
"B",-8.649549,41.167242,54,6.8887325389647,795
"C",-8.602632,41.180607,38,4.33538941875111,615
"C",-8.59752,41.182101,24,6.02431633516034,1095
"A",-8.644068,41.158944,301,5.62005915042173,6030
"C",-8.64972,41.15286,128,3.64347058667836,2160
"B",-8.649342,41.154327,23,6.95567856641202,1185
"C",-8.60481,41.161221,57,4.54818436149417,885
"B",-8.58438,41.163129,46,12.5835385708024,945
"B",-8.585649,41.148675,3,0.598034637567445,450
"B",-8.613297,41.154471,28,5.44785195090092,1215
"C",-8.55666,41.143977,7,0.182301954958794,1785
"B",-8.606934,41.150286,68,3.1303909017961,1710
"C",-8.597196,41.147352,59,2.42939677713195,4155
"B",-8.60688,41.15034,47,8.97048641126679,1230
"B",-8.60652,41.144571,3,2.29239251867218,1845
"B",-8.599257,41.149107,104,8.26715873722136,1890
"C",-8.654139,41.180337,39,4.96316705849796,1155
"A",-8.636958,41.159349,35,6.62309166166495,630
"B",-8.615556,41.140881,5,9.71800994737173,810
"C",-8.682723,41.157882,99,2.07375960584188,2625
"B",-8.609373,41.151168,21,4.63447322520211,300
"B",-8.614647,41.141196,54,14.6489124449859,1170
"B",-8.63019,41.154498,2,0.567210393602686,1110
"A",-8.665317,41.147973,31,6.6922645216502,810
