@relation Train4

@attribute Call_Type {A,B,C}
@attribute Start_x real
@attribute Start_y real
@attribute Past real
@attribute AvgSpeed real
@attribute Time real


@data
"A",-8.620794,41.145921,32,6.23004293383265,630
"A",-8.647731,41.150655,35,5.10242324878615,915
"B",-8.610831,41.145705,10,5.36138522359334,465
"B",-8.628471,41.15727,26,7.52298154495295,690
"B",-8.649459,41.154255,110,4.04182740718808,1965
"A",-8.640774,41.159943,4,7.30648647416348,765
"B",-8.622963,41.15079,93,7.83787545531376,1545
"A",-8.560413,41.154516,6,5.98860931590565,900
"C",-8.630217,41.157477,31,12.3586800749809,705
"C",-8.597457,41.151483,8,4.43611822036342,525
"C",-8.650575,41.149854,83,2.32057863950019,2025
"B",-8.613126,41.166693,39,16.177916817143,705
"A",-8.642574,41.165244,44,5.72302019518742,915
"C",-8.622189,41.147631,22,5.72956255019,600
"B",-8.610894,41.145633,15,8.54389891601467,1020
"C",-8.628651,41.171382,31,5.26431921044235,1365
"B",-8.649513,41.167224,29,4.82615233835582,1020
"C",-8.6211,41.155686,16,5.05203545413811,1680
"A",-8.622234,41.147532,12,1.26666223952071,510
"C",-8.553618,41.248224,59,17.0068859957924,1905
"C",-8.615835,41.147307,211,2.56058279542753,3795
"B",-8.619552,41.15781,4,88.7876404408059,345
"B",-8.609625,41.160357,70,5.3931664650906,2985
"B",-8.609751,41.151294,11,5.15530553531559,720
"B",-8.599941,41.182677,47,5.74120978090622,720
"A",-8.574858,41.142762,18,16.5593375241552,615
"B",-8.589348,41.169627,9,6.6974483207664,570
"A",-8.654832,41.17779,68,1.70934749903975,1125
"C",-8.677854,41.152509,15,28.8160208665924,825
"C",-8.60967,41.151843,48,6.79503638980681,855
"B",-8.626914,41.151744,21,9.584465483374,435
"B",-8.612667,41.146029,101,11.4043641928467,2115
"B",-8.62785,41.15781,24,5.37566759376667,750
"B",-8.610867,41.145687,32,14.889112973797,570
"A",-8.607519,41.150844,17,2.46368425056654,1020
"B",-8.62776,41.157702,18,5.6056519931726,810
"A",-8.641629,41.161446,159,2.7148852359726,2550
"A",-8.679591,41.166288,9,7.0431524418072,465
"A",-8.623953,41.176332,20,3.99563563551669,720
"C",-8.610228,41.161572,37,16.5230320860692,915
"B",-8.582616,41.180229,119,25.1344616433741,2280
"B",-8.617599,41.146155,15,3.25097732466875,870
"C",-8.616186,41.147199,46,7.63691670337712,780
"C",-8.608491,41.142366,474,2.12231960943183,8040
"A",-8.608401,41.142609,37,27.6647267173218,1590
"C",-8.655093,41.152698,33,7.14655173748652,6435
"A",-8.650377,41.170086,11,6.86330063155422,210
"C",-8.602227,41.150583,306,2.30630796109984,11790
"B",-8.611191,41.172039,35,6.82363045331147,570
"C",-8.609976,41.157027,6,4.05395195996141,480
"B",-8.613279,41.166981,29,6.40025099428927,510
"C",-8.614332,41.137443,215,5.84171723842627,3420
"C",-8.609733,41.160339,60,3.94172298694465,915
"B",-8.649459,41.167188,51,7.79502612512261,780
"B",-8.649333,41.16708,29,6.98584911558325,465
"B",-8.639775,41.159808,29,10.2433392084296,870
"B",-8.617617,41.146092,9,4.36314159030537,570
"C",-8.617014,41.167584,8,3.25352131588138,465
"B",-8.606862,41.150259,13,3.26451261574406,885
"B",-8.610921,41.148135,58,12.9338454498985,930
"B",-8.613333,41.166792,12,7.46594061518542,705
"B",-8.584443,41.163174,29,7.88972154760825,750
"B",-8.606439,41.144688,40,2.04660891418245,1455
"B",-8.649369,41.154525,62,13.121895334311,2190
"A",-8.645238,41.164677,28,0.876727518601939,525
